10;11;12;20;21;22;30;31;32;40;41;42;50;51;52;60;61;62
511;273;380;511;349;417;511;273;380;511;673;605;511;749;642;511;673;605
495;295;412;535;350;419;492;251;351;492;684;630;535;747;639;495;659;576
482;319;447;559;354;426;470;230;326;470;693;651;559;742;631;482;642;543
471;400;516;581;359;438;443;323;355;443;699;667;581;663;584;471;622;506
482;380;479;559;280;391;470;329;371;470;792;696;559;668;596;482;703;575
495;363;446;535;275;383;492;338;392;492;771;671;535;672;603;495;727;610
511;349;417;511;273;380;511;349;417;511;749;642;511;673;605;511;749;642
530;338;392;487;275;383;527;363;446;527;727;610;487;672;603;530;771;671
552;329;371;463;280;391;540;380;479;540;703;575;463;668;596;552;792;696
579;323;355;441;359;438;551;400;516;551;622;506;441;663;584;579;699;667
552;230;326;463;354;426;540;319;447;540;642;543;463;742;631;552;693;651
530;251;351;487;350;419;527;295;412;527;659;576;487;747;639;530;684;630
