10;11;12;20;21;22;30;31;32;40;41;42;50;51;52;60;61;62
511;311;397;511;349;417;511;311;397;511;673;605;511;711;625;511;673;605
507;316;404;517;349;417;506;307;390;506;676;612;517;711;625;507;669;598
503;320;412;523;350;418;502;303;383;502;679;618;523;710;624;503;666;591
499;324;419;529;350;418;497;299;377;497;682;624;529;710;624;499;663;584
495;329;427;535;350;419;492;295;370;492;684;630;535;709;622;495;659;576
492;334;436;541;351;421;487;292;364;487;686;635;541;708;621;492;655;568
488;339;444;547;352;422;481;288;358;481;689;641;547;707;619;488;651;560
485;354;458;553;353;424;475;301;361;475;691;646;553;694;611;485;646;552
482;370;473;559;354;426;469;314;364;469;693;650;559;681;602;482;642;543
479;385;488;565;355;429;463;327;367;463;695;655;565;667;593;479;637;534
482;380;479;559;341;420;469;329;372;469;708;658;559;668;596;482;652;549
485;376;470;553;328;411;475;331;376;475;721;661;553;669;598;485;668;564
488;371;462;547;315;403;481;333;381;481;734;664;547;670;600;488;683;578
492;367;454;541;314;401;487;336;387;487;730;658;541;671;601;492;688;586
495;363;446;535;313;400;492;338;392;492;727;652;535;672;603;495;693;595
499;359;438;529;312;398;497;340;398;497;723;645;529;672;604;499;698;603
503;356;431;523;312;398;502;343;404;502;719;639;523;672;604;503;702;610
507;353;424;517;311;397;506;346;410;506;715;632;517;673;605;507;706;618
511;349;417;511;311;397;511;349;417;511;711;625;511;673;605;511;711;625
516;346;410;505;311;397;515;353;424;515;706;618;505;673;605;516;715;632
520;343;404;499;312;398;519;356;431;519;702;610;499;672;604;520;719;639
525;340;398;493;312;398;523;359;438;523;698;603;493;672;604;525;723;645
530;338;392;487;313;400;527;363;446;527;693;595;487;672;603;530;727;652
535;336;387;481;314;401;530;367;454;530;688;586;481;671;601;535;730;658
541;333;381;475;315;403;534;371;462;534;683;578;475;670;600;541;734;664
547;331;376;469;328;411;537;376;470;537;668;564;469;669;598;547;721;661
553;329;372;463;341;420;540;380;479;540;652;549;463;668;596;553;708;658
559;327;367;457;355;429;543;385;488;543;637;534;457;667;593;559;695;655
553;314;364;463;354;426;540;370;473;540;642;543;463;681;602;553;693;650
547;301;361;469;353;424;537;354;458;537;646;552;469;694;611;547;691;646
541;288;358;475;352;422;534;339;444;534;651;560;475;707;619;541;689;641
535;292;364;481;351;421;530;334;436;530;655;568;481;708;621;535;686;635
530;295;370;487;350;419;527;329;427;527;659;576;487;709;622;530;684;630
525;299;377;493;350;418;523;324;419;523;663;584;493;710;624;525;682;624
520;303;383;499;350;418;519;320;412;519;666;591;499;710;624;520;679;618
516;307;390;505;349;417;515;316;404;515;669;598;505;711;625;516;676;612
